"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"D90","3.2X1.6X1.1","210.42mm","216.254mm","210.42mm","216.254mm","208.67mm","216.254mm","T","360.00","LED2"
"D89","3.2X1.6X1.1","196.92mm","216.254mm","196.92mm","216.254mm","195.1699mm","216.254mm","T","360.00","LED2"
"D88","3.2X1.6X1.1","183.42mm","216.254mm","183.42mm","216.254mm","181.6699mm","216.254mm","T","360.00","LED2"
"D87","3.2X1.6X1.1","169.92mm","216.254mm","169.92mm","216.254mm","168.17mm","216.254mm","T","360.00","LED2"
"D86","3.2X1.6X1.1","156.42mm","216.254mm","156.42mm","216.254mm","154.67mm","216.254mm","T","360.00","LED2"
"D85","3.2X1.6X1.1","142.92mm","216.254mm","142.92mm","216.254mm","141.17mm","216.254mm","T","360.00","LED2"
"D84","3.2X1.6X1.1","129.42mm","216.254mm","129.42mm","216.254mm","127.67mm","216.254mm","T","360.00","LED2"
"D83","3.2X1.6X1.1","115.92mm","216.254mm","115.92mm","216.254mm","114.17mm","216.254mm","T","360.00","LED2"
"D82","3.2X1.6X1.1","102.42mm","216.254mm","102.42mm","216.254mm","100.67mm","216.254mm","T","360.00","LED2"
"D81","3.2X1.6X1.1","88.92mm","216.254mm","88.92mm","216.254mm","87.17mm","216.254mm","T","360.00","LED2"
"D80","3.2X1.6X1.1","291.42mm","226.254mm","291.42mm","226.254mm","289.67mm","226.254mm","T","360.00","LED2"
"D79","3.2X1.6X1.1","277.92mm","226.254mm","277.92mm","226.254mm","276.17mm","226.254mm","T","360.00","LED2"
"D78","3.2X1.6X1.1","264.42mm","226.254mm","264.42mm","226.254mm","262.67mm","226.254mm","T","360.00","LED2"
"D77","3.2X1.6X1.1","250.92mm","226.254mm","250.92mm","226.254mm","249.17mm","226.254mm","T","360.00","LED2"
"D76","3.2X1.6X1.1","237.42mm","226.254mm","237.42mm","226.254mm","235.67mm","226.254mm","T","360.00","LED2"
"D75","3.2X1.6X1.1","223.92mm","226.254mm","223.92mm","226.254mm","222.1699mm","226.254mm","T","360.00","LED2"
